tmd,delta_md,delta_ns,delta_ew,delta_tvd,inclination,azimuth
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.800000,5.800000,0.000000,0.000000,5.800000,0.000000,0.000000
26.000000,20.200000,0.000000,0.000000,20.200000,0.000000,0.000000
50.200000,24.200000,0.056697,-0.006060,24.199866,0.270000,353.900000
69.150000,18.950000,0.053358,0.009154,18.949880,0.100000,57.190000
88.040000,18.890000,0.031598,0.040021,18.889922,0.210000,49.100000
107.010000,18.970000,0.065004,0.018020,18.969839,0.260000,348.940000
125.980000,18.970000,0.067422,0.052986,18.969671,0.400000,67.650000
144.940000,18.960000,0.050458,0.124157,18.959526,0.410000,68.110000
163.890000,18.950000,0.046896,0.151258,18.949321,0.550000,76.250000
182.720000,18.830000,0.070564,0.147414,18.829249,0.470000,50.540000
201.680000,18.960000,0.134185,0.117817,18.959126,0.620000,34.280000
220.650000,18.970000,0.189940,0.098039,18.968777,0.680000,20.940000
239.600000,18.950000,0.206355,0.111697,18.948521,0.750000,35.210000
258.580000,18.980000,0.248717,0.139961,18.977799,0.980000,24.900000
277.520000,18.940000,0.303128,0.151081,18.936963,1.070000,27.950000
296.460000,18.940000,0.263987,0.051003,18.937682,0.680000,343.520000
315.420000,18.960000,0.204569,-0.075100,18.958741,0.640000,335.930000
334.390000,18.970000,0.059578,-0.089810,18.969221,0.360000,231.430000
353.360000,18.970000,-0.088150,-0.074110,18.969636,0.350000,208.350000
372.310000,18.950000,-0.047040,-0.016580,18.949816,0.070000,70.350000
391.260000,18.950000,0.062460,0.033677,18.949785,0.380000,21.250000
410.470000,19.210000,0.207946,0.070305,19.208523,0.930000,17.630000
429.700000,19.230000,0.163336,0.065667,19.228705,0.140000,51.560000
440.000000,10.300000,0.011910,0.027363,10.299953,0.200000,76.860000
454.000000,14.000000,-0.026270,0.065595,13.999760,0.430000,127.280000
467.830000,13.830000,-0.099740,0.100688,13.829213,0.750000,138.990000
487.060000,19.230000,-0.552000,-0.179160,19.214741,3.140000,209.800000
506.270000,19.210000,-1.581320,-0.859020,19.110761,7.620000,207.980000
525.570000,19.300000,-2.457530,-1.399560,19.089569,9.240000,211.050000
544.810000,19.240000,-2.941000,-1.428390,18.957132,10.400000,201.330000
564.100000,19.290000,-3.590270,-0.998490,18.921480,11.980000,190.510000
583.300000,19.200000,-3.973990,-0.897680,18.761902,12.540000,194.850000
602.450000,19.150000,-3.984290,-1.056420,18.701084,12.320000,194.850000
621.690000,19.240000,-4.497530,-1.307960,18.651333,15.880000,197.280000
640.910000,19.220000,-5.387960,-1.566550,18.378750,18.080000,195.270000
